id,subregion,pop,area,daily_count_day1,X1.23.20,X1.24.20,X1.25.20,X1.26.20,X1.27.20,X1.28.20,X1.29.20,X1.30.20,X1.31.20,X2.1.20,X2.2.20,X2.3.20,X2.4.20,X2.5.20,X2.6.20,X2.7.20,X2.8.20,X2.9.20,X2.10.20,X2.11.20,X2.12.20,X2.13.20,X2.14.20,X2.15.20,X2.16.20,X2.17.20,X2.18.20,X2.19.20,X2.20.20,X2.21.20,X2.22.20,X2.23.20,X2.24.20,X2.25.20,X2.26.20,X2.27.20,X2.28.20,X2.29.20,X3.1.20,X3.2.20,X3.3.20,X3.4.20,X3.5.20,X3.6.20,X3.7.20,X3.8.20,X3.9.20,X3.10.20,X3.11.20,X3.12.20,X3.13.20,X3.14.20,X3.15.20,X3.16.20,X3.17.20,X3.18.20,X3.19.20,X3.20.20,X3.21.20,X3.22.20,X3.23.20,X3.24.20,X3.25.20,X3.26.20,X3.27.20,X3.28.20,X3.29.20,X3.30.20,X3.31.20,X4.1.20,X4.2.20,X4.3.20,X4.4.20,X4.5.20,X4.6.20,X4.7.20,X4.8.20,X4.9.20,X4.10.20,X4.11.20,X4.12.20,X4.13.20,X4.14.20,X4.15.20,X4.16.20,X4.17.20,X4.18.20,X4.19.20,X4.20.20,X4.21.20,X4.22.20,X4.23.20,X4.24.20,X4.25.20,X4.26.20,X4.27.20,X4.28.20,X4.29.20,X4.30.20,X5.1.20,X5.2.20,X5.3.20,X5.4.20,X5.5.20,X5.6.20,X5.7.20,X5.8.20,X5.9.20,X5.10.20,X5.11.20,X5.12.20,X5.13.20,X5.14.20,X5.15.20,X5.16.20,X5.17.20,X5.18.20,X5.19.20,X5.20.20,X5.21.20,X5.22.20,X5.23.20,X5.24.20,X5.25.20,X5.26.20,X5.27.20,X5.28.20,X5.29.20,X5.30.20,X5.31.20,X6.1.20,X6.2.20,X6.3.20,X6.4.20,X6.5.20,X6.6.20,X6.7.20,X6.8.20,X6.9.20,X6.10.20,X6.11.20,X6.12.20,X6.13.20,X6.14.20,X6.15.20,X6.16.20,X6.17.20,X6.18.20,X6.19.20,X6.20.20,X6.21.20,X6.22.20,X6.23.20,X6.24.20,X6.25.20,X6.26.20,X6.27.20,X6.28.20,X6.29.20,X6.30.20,X7.1.20,X7.2.20,X7.3.20,X7.4.20,X7.5.20,X7.6.20,X7.7.20,X7.8.20,X7.9.20,X7.10.20,X7.11.20,X7.12.20,X7.13.20,X7.14.20,X7.15.20,X7.16.20,X7.17.20,X7.18.20,X7.19.20,X7.20.20,X7.21.20,X7.22.20,X7.23.20,X7.24.20,X7.25.20,X7.26.20,X7.27.20,X7.28.20,X7.29.20,X7.30.20,X7.31.20,X8.1.20,X8.2.20,X8.3.20,X8.4.20,X8.5.20,X8.6.20,X8.7.20,X8.8.20,X8.9.20,X8.10.20,X8.11.20,X8.12.20,X8.13.20,X8.14.20,X8.15.20,X8.16.20,X8.17.20,X8.18.20,X8.19.20,X8.20.20,X8.21.20,X8.22.20,X8.23.20,X8.24.20,X8.25.20,X8.26.20,X8.27.20,X8.28.20,X8.29.20,X8.30.20,X8.31.20,X9.1.20,X9.2.20,X9.3.20,X9.4.20,X9.5.20,X9.6.20,X9.7.20,X9.8.20,X9.9.20,X9.10.20,X9.11.20,X9.12.20,X9.13.20,X9.14.20,X9.15.20,X9.16.20,X9.17.20,X9.18.20,X9.19.20,X9.20.20,X9.21.20,X9.22.20,X9.23.20,X9.24.20,X9.25.20,X9.26.20,X9.27.20,X9.28.20,X9.29.20,X9.30.20,X10.1.20,X10.2.20,X10.3.20,X10.4.20,X10.5.20,X10.6.20,X10.7.20,X10.8.20,X10.9.20,X10.10.20,X10.11.20,X10.12.20,X10.13.20,X10.14.20,X10.15.20,X10.16.20,X10.17.20,X10.18.20,X10.19.20,X10.20.20,X10.21.20,X10.22.20,X10.23.20,X10.24.20,X10.25.20,X10.26.20,X10.27.20,X10.28.20,X10.29.20,X10.30.20,X10.31.20,X11.1.20,X11.2.20,X11.3.20,X11.4.20,X11.5.20,X11.6.20,X11.7.20,X11.8.20,X11.9.20,X11.10.20,X11.11.20,X11.12.20,X11.13.20,X11.14.20,X11.15.20,X11.16.20,X11.17.20,X11.18.20,X11.19.20,X11.20.20,X11.21.20,X11.22.20,X11.23.20,X11.24.20,X11.25.20,X11.26.20,X11.27.20,X11.28.20,X11.29.20,X11.30.20,X12.1.20,X12.2.20,X12.3.20,X12.4.20,X12.5.20,X12.6.20,X12.7.20,X12.8.20,X12.9.20,X12.10.20,X12.11.20,X12.12.20,X12.13.20,X12.14.20,X12.15.20,X12.16.20,X12.17.20,X12.18.20,X12.19.20,X12.20.20,X12.21.20,X12.22.20,X12.23.20,X12.24.20,X12.25.20,X12.26.20,X12.27.20,X12.28.20,X12.29.20,X12.30.20,X12.31.20,X1.1.21,X1.2.21,X1.3.21,X1.4.21,X1.5.21,X1.6.21,X1.7.21,X1.8.21,X1.9.21,X1.10.21,X1.11.21,X1.12.21,X1.13.21,X1.14.21,X1.15.21,X1.16.21,X1.17.21,X1.18.21,X1.19.21,X1.20.21,X1.21.21,X1.22.21,X1.23.21
1,plymouth,518132,659.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,4,8,24,20,19,18,30,13,43,55,58,62,54,54,39,119,115,107,107,109,150,76,162,160,159,163,164,105,41,164,199,230,212,296,123,95,275,195,210,181,196,112,65,130,189,236,138,146,73,75,137,175,191,119,151,50,31,124,130,95,85,85,35,28,88,81,79,54,78,19,18,11,84,50,50,46,10,7,45,35,25,21,13,4,11,23,15,16,24,15,5,4,11,13,14,12,11,1,4,13,12,12,8,11,12,2,15,12,15,10,6,1,9,7,5,8,11,11,2,5,16,14,8,19,12,10,5,14,12,11,11,10,7,4,20,13,23,24,11,1,2,11,13,22,17,16,9,4,23,17,29,13,30,8,9,17,26,14,27,11,7,6,26,26,30,16,22,13,4,23,21,23,0,21,24,29,8,7,15,20,41,36,13,22,18,24,21,35,29,17,7,11,16,25,29,18,32,28,27,51,30,45,52,32,23,48,17,34,72,42,46,106,56,44,62,54,33,46,74,93,38,71,80,92,56,94,77,56,73,63,77,68,50,66,84,98,93,109,64,63,114,120,124,87,124,73,131,115,114,126,119,112,129,86,116,135,210,286,126,93,98,204,260,395,243,354,241,181,276,310,400,307,307,285,274,301,406,301,421,341,236,290,248,300,467,472,477,251,343,287,416,488,0,697,287,386,355,405,526,672,558,406,387,460,423,496,445,548,393,259,247,380,348,397,340
2,berkshire,126348,926.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,1,1,3,4,4,5,5,13,7,28,3,3,9,19,18,23,27,4,2,18,22,13,14,19,3,4,42,6,7,9,12,1,8,23,12,5,5,9,2,0,5,4,4,0,4,0,2,7,1,8,5,5,1,0,2,3,3,0,3,4,1,2,1,3,5,0,2,0,3,9,1,10,3,0,14,1,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,2,2,2,1,0,0,0,0,0,1,2,2,0,0,3,0,2,0,2,0,0,0,5,1,1,2,2,1,0,6,0,1,1,0,1,1,3,6,5,2,2,0,1,3,3,2,1,4,1,1,1,1,0,2,0,0,1,0,0,4,2,1,1,0,2,1,7,2,0,1,4,1,4,5,1,2,0,0,1,1,1,0,3,0,2,0,4,1,2,2,2,2,2,3,2,10,0,0,1,2,2,0,2,0,4,2,4,0,0,2,0,5,2,0,1,0,3,1,0,0,2,1,2,0,1,0,4,2,0,2,3,4,10,4,9,6,1,2,1,5,14,5,6,4,11,9,7,16,42,50,29,19,20,6,45,29,50,31,19,44,15,17,82,64,54,43,65,69,2,43,83,52,23,100,51,15,56,51,82,40,30,24,14,30,34,30,19,25,41,37,31,33,58,57,56,17,56,54,58,62,0,75,38,62,92,86,78,76,86,43,71,67,52,74,52,78,32,59,53,42,38,62,47
3,barnstable,213413,393.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,8,15,15,16,11,8,27,36,28,37,44,21,10,32,28,31,31,8,15,4,16,26,18,14,29,9,11,10,25,30,19,61,6,4,16,16,26,36,8,27,4,12,15,62,15,25,16,5,18,18,17,19,17,7,6,20,18,16,9,10,2,9,27,18,38,9,12,3,3,2,8,3,8,2,2,4,4,2,6,4,2,2,1,6,1,7,7,2,0,2,1,4,5,3,3,0,1,3,1,1,2,4,2,0,3,8,6,2,1,1,0,1,2,3,1,3,2,1,4,5,7,3,18,7,2,21,2,8,2,8,5,1,5,1,4,2,8,2,2,3,6,2,4,0,1,1,4,4,1,1,1,1,1,1,2,3,3,2,2,1,6,6,2,7,12,3,4,4,9,7,0,9,3,4,2,0,1,4,0,9,6,1,4,3,3,4,8,1,7,1,8,6,8,14,7,9,13,7,13,8,11,6,3,5,5,12,6,3,5,13,2,0,5,6,0,8,2,4,9,11,7,4,11,24,24,7,5,16,9,22,9,5,13,11,22,12,16,11,30,22,8,33,23,21,18,69,52,30,32,138,34,31,70,68,70,71,77,43,27,82,75,85,83,57,48,37,40,117,68,82,64,65,48,88,92,62,84,131,64,62,63,53,108,156,203,58,51,64,56,159,0,221,91,42,68,63,92,170,115,196,115,116,131,114,110,164,111,97,87,91,193,127,119
4,norfolk,705388,396.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,10,6,1,0,3,6,12,14,11,9,40,30,28,47,42,31,71,78,81,81,93,60,47,120,101,121,147,144,192,102,188,283,172,178,220,183,109,213,239,234,214,283,106,87,211,237,159,204,200,104,92,180,151,157,157,113,75,45,109,103,59,109,97,68,22,93,77,66,76,56,46,17,59,69,61,51,55,18,13,13,55,34,39,23,23,7,17,13,25,18,15,10,29,18,16,16,9,9,6,6,9,11,14,14,7,8,10,12,11,15,9,14,9,4,9,14,20,23,11,4,5,20,13,28,29,20,17,9,19,22,28,21,21,11,4,38,23,27,20,21,11,8,25,29,15,26,24,14,12,21,14,23,24,16,7,6,25,14,23,12,28,15,13,27,19,20,22,22,11,12,14,25,27,18,25,14,9,30,35,25,0,23,34,25,21,4,12,29,35,29,23,13,19,25,43,48,35,29,21,15,27,35,28,42,35,24,37,30,46,46,51,52,25,50,24,34,73,53,32,56,62,33,33,42,35,43,48,62,36,62,61,72,61,61,85,57,81,77,100,98,49,84,69,103,144,159,98,90,170,144,152,172,145,134,115,147,159,157,189,197,145,95,188,197,250,302,140,214,73,239,336,374,411,337,363,203,357,374,386,366,340,381,322,371,404,331,521,374,309,277,366,338,455,560,666,287,358,329,459,542,0,756,336,357,404,469,540,660,529,513,439,554,409,477,467,538,386,320,290,390,469,518,457
5,bristol,564022,553.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,7,10,12,24,14,14,28,42,31,62,53,28,33,73,78,70,76,78,42,37,117,134,93,111,114,52,33,137,159,109,138,174,96,85,216,123,146,135,187,114,45,143,171,216,160,161,98,50,144,179,165,225,129,59,38,145,168,167,165,123,71,35,159,119,100,126,114,26,41,28,88,82,75,57,27,14,78,66,56,56,44,10,20,28,59,27,26,31,8,3,25,20,20,24,22,11,3,30,15,16,21,7,9,12,24,13,17,13,5,3,14,11,19,26,35,24,6,8,18,25,26,16,14,14,7,20,30,22,21,10,13,14,34,21,15,26,27,10,9,29,21,26,24,26,12,9,33,31,19,23,25,16,9,20,23,21,23,18,10,8,24,19,27,54,32,22,13,40,59,39,0,44,44,25,28,16,9,30,30,26,21,18,22,34,58,43,46,42,23,15,32,37,31,55,37,32,24,40,47,65,43,42,29,46,37,29,59,44,44,71,69,38,51,36,55,66,61,80,44,164,117,117,150,160,108,181,171,195,175,104,105,93,229,201,217,219,189,106,292,364,246,321,329,196,227,251,394,337,209,381,300,209,184,341,421,501,298,170,83,217,530,817,451,491,409,278,276,884,441,683,487,386,277,459,661,451,513,563,350,446,243,450,564,746,927,282,502,430,634,749,0,1066,353,428,455,744,718,836,879,686,477,601,609,641,495,595,459,415,327,408,498,592,462
6,suffolk,807252,58.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,8,3,0,2,5,5,13,14,15,43,53,58,60,80,61,48,113,124,146,170,174,153,118,226,266,288,276,397,209,253,413,402,413,442,397,263,204,482,580,470,480,649,274,249,538,514,537,518,494,267,150,342,390,360,348,308,164,155,290,281,288,258,193,104,60,168,194,166,148,155,88,48,132,135,119,119,104,66,38,29,119,84,83,60,42,21,69,68,42,78,38,38,16,56,57,31,40,43,17,7,36,35,40,30,26,19,6,42,31,32,34,35,24,6,36,39,40,54,11,9,20,54,46,51,44,57,14,11,62,38,69,45,40,27,8,38,46,49,42,42,36,13,62,78,73,77,63,37,16,74,65,78,93,66,41,20,100,85,76,112,90,33,25,114,125,82,96,70,41,15,102,86,90,72,86,51,26,102,93,106,50,0,94,74,59,32,43,89,108,102,64,42,70,65,93,88,122,67,57,24,69,97,101,88,104,79,66,53,143,142,107,116,65,65,83,73,109,115,65,140,122,72,116,148,90,133,163,117,124,167,226,166,225,252,169,160,248,260,191,180,135,103,205,252,336,297,318,180,301,296,337,397,373,231,314,260,329,299,276,314,286,254,238,325,457,589,240,320,123,359,503,827,712,685,601,336,505,549,631,729,590,645,557,454,723,648,688,480,473,428,436,514,621,816,1010,416,519,448,649,861,0,1019,350,506,480,831,929,969,862,676,544,519,575,656,686,709,531,406,262,400,538,725,497
7,franklin,70963,699.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,10,2,6,11,7,11,12,8,9,3,4,5,8,5,4,7,1,6,14,5,4,4,4,3,3,13,3,5,4,6,2,10,11,5,2,10,0,1,14,5,5,13,3,0,1,6,6,2,3,2,0,0,5,2,2,1,0,1,0,2,1,1,1,3,1,0,2,1,2,0,1,0,0,0,0,0,3,0,0,1,2,0,2,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,3,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,1,0,1,2,1,2,0,0,0,1,3,1,0,0,0,0,0,0,2,1,0,2,1,1,1,0,1,4,1,1,2,0,0,2,2,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,1,0,1,1,2,2,0,1,1,0,1,2,6,0,0,2,2,0,1,1,0,0,0,0,6,2,3,1,3,4,11,0,4,1,6,5,0,6,1,0,4,4,0,3,5,5,4,3,6,4,4,7,8,9,5,4,1,7,3,6,8,9,4,7,6,10,14,11,9,6,13,18,23,17,23,17,21,21,42,17,38,39,25,29,29,13,45,19,18,17,4,17,3,26,24,22,13,8,15,19,22,0,32,8,9,11,18,26,36,20,20,14,18,20,16,24,30,9,11,15,22,14,15,19
8,hampshire,161355,527.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,4,2,4,12,12,7,13,18,13,9,16,8,16,8,11,8,5,9,8,13,5,12,6,3,11,16,10,22,45,10,7,14,13,23,10,20,14,12,23,23,21,11,35,8,4,11,17,36,16,17,20,9,15,11,28,6,18,5,3,10,9,15,11,10,2,3,0,6,5,3,0,0,0,4,2,7,2,0,1,0,1,0,0,0,2,2,0,4,2,3,0,0,0,2,1,0,2,2,4,2,5,3,2,1,5,1,0,2,2,5,1,0,6,1,0,1,3,3,3,3,1,1,5,4,4,6,7,6,1,13,8,5,4,4,4,1,10,9,9,4,2,4,4,4,3,6,7,0,1,2,9,6,5,6,6,5,3,4,13,6,7,6,1,0,6,1,0,0,3,3,2,1,2,0,2,1,2,0,0,2,1,1,3,2,1,0,0,3,3,3,8,4,4,5,16,22,25,18,8,3,6,8,4,4,3,4,3,5,10,2,10,3,11,1,11,8,10,5,6,8,9,7,7,12,19,6,11,1,16,22,21,24,34,21,15,19,37,31,54,35,24,21,23,61,31,27,37,31,14,31,35,40,46,38,35,18,23,45,60,42,44,31,30,53,51,73,55,63,43,31,26,46,52,58,37,43,39,56,43,65,79,93,55,37,46,80,90,0,108,48,55,68,87,94,101,96,64,47,65,84,76,62,65,44,44,41,58,36,80,57
9,essex,790638,492.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4,3,12,18,23,27,33,34,44,54,82,101,106,131,102,73,69,153,163,179,146,149,153,125,270,305,270,251,326,187,145,301,478,369,337,338,224,139,442,306,425,366,322,256,140,358,367,331,287,340,186,114,389,267,259,230,210,83,31,194,239,198,192,153,112,67,162,185,153,123,131,77,52,23,151,123,116,105,57,35,92,90,99,58,87,23,19,83,61,51,43,54,17,14,41,33,38,31,34,18,19,37,31,31,25,29,22,9,28,37,44,34,16,10,13,42,34,35,26,25,21,12,52,24,49,44,19,12,15,34,40,35,32,45,26,24,70,37,52,56,71,23,30,96,81,66,63,62,39,13,66,45,52,74,57,21,20,73,60,60,59,31,27,17,82,49,68,54,44,11,30,89,54,73,0,63,67,66,16,33,23,54,72,63,36,24,43,24,45,57,150,52,12,34,185,117,103,112,128,54,102,110,125,101,113,95,152,55,96,67,110,133,115,103,84,136,103,117,129,170,157,123,131,150,143,200,236,121,122,224,219,228,230,181,112,112,341,300,376,396,353,131,268,342,447,367,538,382,244,349,425,398,293,448,603,287,296,589,678,766,461,483,228,370,901,1370,991,902,936,361,492,1064,888,1053,887,803,537,424,1032,923,847,547,739,621,357,819,983,916,848,349,876,492,1106,1076,0,974,360,861,538,1110,1065,1175,1024,790,651,498,786,829,765,726,670,341,242,557,701,654,513
10,hampden,470406,617.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,7,16,10,14,26,21,21,40,56,61,78,92,51,70,114,121,114,89,104,101,59,100,126,106,124,112,67,54,92,190,177,115,115,85,53,139,101,170,132,129,69,55,136,110,122,101,98,41,39,139,123,108,100,89,20,30,80,81,80,106,86,30,23,112,98,93,64,64,26,22,22,54,63,46,43,12,13,35,41,25,12,32,8,8,27,17,24,12,19,5,8,18,10,13,23,16,9,8,20,24,26,21,21,14,8,15,32,19,24,15,11,12,18,28,14,28,17,14,11,19,30,22,15,24,6,2,22,31,26,27,30,11,12,27,40,22,29,23,7,7,31,24,21,25,16,5,2,20,21,9,18,31,11,7,10,16,11,21,20,5,4,19,33,10,18,17,8,9,19,13,11,0,20,21,23,12,15,4,24,17,12,11,11,17,17,31,14,19,20,25,14,50,23,19,30,52,41,14,29,56,64,32,58,40,41,37,10,60,35,38,64,36,40,27,50,43,60,51,46,48,86,74,122,47,175,77,101,115,135,103,105,66,98,128,161,195,181,168,204,167,236,186,313,270,191,178,217,239,144,228,238,237,178,289,298,310,321,285,210,158,314,278,428,388,431,343,163,429,325,363,326,309,277,284,305,296,370,460,193,351,290,306,335,491,480,468,200,230,248,436,502,0,604,172,345,441,365,621,538,508,394,289,476,358,405,413,416,309,298,313,363,346,281,428
